Surah,Ayah,Tags,Category,Emotion,Context
1,1,"Tawheed, Mercy, Kindness, Power","Divine Attributes & Signs (Asma wa Sifat), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Love of Allah, Awe, Hope","Spiritual reminder, Worship guidance"
1,2,"Tawheed, Gratitude","Faith (Aqeedah), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Gratitude, Awe, Love of Allah",Spiritual reminder
1,3,"Mercy, Kindness, Tawheed, Divine Attributes & Signs",Divine Attributes & Signs (Asma wa Sifat),"Love of Allah, Awe, Hope, Comfort",Spiritual reminder
1,4,"Tawheed, Accountability, Justice, Resurrection, Power","Faith (Aqeedah), Eschatology (Akhirah), Divine Attributes & Signs (Asma wa Sifat)","Awe, Fear, Hope","Eschatological context, Spiritual reminder"
1,5,"Tawheed, Dua, Hope, Gratitude","Faith (Aqeedah), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Hope, Gratitude, Love of Allah","Worship guidance, Spiritual reminder"
1,6,"Tawheed, Dua, Hope, Humility","Faith (Aqeedah), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Hope, Humility, Love of Allah","Worship guidance, Spiritual reminder"
1,7,"Guidance, Misguidance, Reward, Punishment, Mercy, Heaven, Hell","Eschatology (Akhirah), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Hope, Fear","Eschatological context, Spiritual reminder"
2,1,"Tawheed, Mercy, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),"Awe, Hope, Love of Allah",Spiritual reminder
2,2,"Revelation, Guidance, Faith, Tawheed, Fear, Hope","Faith (Aqeedah), Divine Attributes & Signs (Asma wa Sifat)","Hope, Fear",Spiritual reminder
2,3,"Faith, Prayer, Zakat, Gratitude","Faith (Aqeedah), Worship (‘Ibadah), Ethics & Morality (Akhlaq)","Gratitude, Hope","Worship guidance, Moral teaching context, Daily life context"
2,4,"Faith, Prophethood, Revelation, Resurrection, Accountability","Faith (Aqeedah), Eschatology (Akhirah)","Hope, Fear","Eschatological context, Spiritual reminder"
2,5,"Guidance, Reward, Faith","Faith (Aqeedah), Eschatology (Akhirah)","Hope, Joy","Spiritual reminder, Eschatological context"
2,6,"Disbelief, Prophethood, Guidance, Misguidance",Faith (Aqeedah),Sadness,Spiritual reminder
2,7,"Disbelief, Punishment, Hell, Misguidance, Power","Eschatology (Akhirah), Divine Attributes & Signs (Asma wa Sifat)",Fear,"Eschatological context, Moral teaching context"
2,8,"Faith, Disbelief, Hypocrisy, Accountability, Resurrection","Faith (Aqeedah), Eschatology (Akhirah)",Fear,"Spiritual reminder, Eschatological context, Moral teaching context"
2,9,"Hypocrisy, Disbelief, Accountability, Faith","Faith (Aqeedah), Ethics & Morality (Akhlaq)","Anger at Injustice, Fear",Moral teaching context
2,10,"Disbelief, Punishment, Mercy, Hypocrisy, Faith, Disease (metaphorical)","Faith (Aqeedah), Eschatology (Akhirah)","Fear, Anger at Injustice","Moral teaching context, Eschatological context"
2,11,"Hypocrisy, Justice, Society, Misguidance","Ethics & Morality (Akhlaq), Social Relations (Mu‘amalat)",Anger at Injustice,"Moral teaching context, Daily life context"
2,12,"Misguidance, Hypocrisy, Disbelief",Ethics & Morality (Akhlaq),Anger at Injustice,Moral teaching context
2,13,"Faith, Disbelief, Hypocrisy, Wisdom, Misguidance",Faith (Aqeedah),Anger at Injustice,Moral teaching context
2,14,"Hypocrisy, Faith, Disbelief, Honesty",Ethics & Morality (Akhlaq),Anger at Injustice,Moral teaching context
2,15,"Hypocrisy, Misguidance, Punishment, Power, Mercy","Divine Attributes & Signs (Asma wa Sifat), Eschatology (Akhirah)","Anger at Injustice, Fear","Moral teaching context, Spiritual reminder"
2,16,"Misguidance, Guidance, Trade, Reward, Punishment","Ethics & Morality (Akhlaq), Eschatology (Akhirah)",Sadness,"Moral teaching context, Eschatological context"
2,17,"Misguidance, Punishment, Power, Knowledge, Hell, Disbelief, Lessons from history","Divine Attributes & Signs (Asma wa Sifat), Eschatology (Akhirah), Moral teaching context","Fear, Sadness","Moral teaching context, Eschatological context"
2,18,"Disbelief, Misguidance, Hell, Punishment","Eschatology (Akhirah), Divine Attributes & Signs (Asma wa Sifat)",Fear,"Eschatological context, Moral teaching context"
2,19,"Fear, Disbelief, Power, Punishment, Divine Attributes & Signs","Divine Attributes & Signs, Eschatology",Fear,"Spiritual reminder, Eschatological context"
2,20,"Power, Awe, Fear",Divine Attributes & Signs (Asma wa Sifat),"Awe, Fear","Spiritual reminder, Daily life context"
2,21,"Tawheed, Worship, Fear, Accountability, Guidance, Reward, Punishment","Faith (Aqeedah), Worship (‘Ibadah), Eschatology (Akhirah)","Fear, Hope","Worship guidance, Spiritual reminder, Moral teaching context"
2,22,"Tawheed, Gratitude, Power, Wisdom, Mercy","Divine Attributes & Signs (Asma wa Sifat), Faith (Aqeedah)","Gratitude, Awe","Spiritual reminder, Daily life context"
2,23,"Revelation, Prophethood, Tawheed, Faith, Disbelief, Challenge, Miracles","Faith (Aqeedah), Divine Attributes & Signs (Asma wa Sifat)","Challenge, Fear, Determination","Moral teaching context, Makki Revelation"
2,24,"Hell, Punishment, Fear, Disbelief",Eschatology (Akhirah),Fear,"Eschatological context, Moral teaching context"
2,25,"Reward, Heaven, Faith, Kindness, Marriage, Hope","Eschatology (Akhirah), Ethics & Morality (Akhlaq)","Hope, Joy","Eschatological context, Moral teaching context"
2,26,"Tawheed, Power, Wisdom, Guidance, Misguidance, Faith, Disbelief","Divine Attributes & Signs (Asma wa Sifat), Faith (Aqeedah)",Awe,"Spiritual reminder, Moral teaching context"
2,27,"Justice, Honesty, Family, Society, Punishment, Disbelief","Ethics & Morality (Akhlaq), Law (Ahkam), Social Relations (Mu‘amalat)","Anger at Injustice, Sadness","Moral teaching context, Law-giving context"
2,28,"Tawheed, Resurrection, Accountability, Disbelief, Power, Mercy","Faith (Aqeedah), Eschatology (Akhirah), Divine Attributes & Signs (Asma wa Sifat)","Fear, Awe","Spiritual reminder, Eschatological context"
2,29,"Tawheed, Knowledge, Power, Wisdom, Creation, Heaven",Divine Attributes & Signs (Asma wa Sifat),"Awe, Gratitude",Spiritual reminder
2,30,"Tawheed, Power, Knowledge, Prophethood, Angels, Humanity, Accountability, Disbelief, Mercy","Divine Attributes & Signs (Asma wa Sifat), History & Stories (Qasas al-Anbiya)",Awe,"Historical story, Moral teaching context"
2,31,"Knowledge, Power, Wisdom, Prophethood, Tawheed","Divine Attributes & Signs (Asma wa Sifat), History & Stories (Qasas al-Anbiya)",Awe,"Historical story, Moral teaching context"
2,32,"Tawheed, Humility, Knowledge, Wisdom, Gratitude","Faith (Aqeedah), Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Gratitude, Awe","Spiritual reminder, Moral teaching context"
2,33,"Knowledge, Power, Wisdom, Prophethood, Tawheed","Divine Attributes & Signs (Asma wa Sifat), History & Stories (Qasas al-Anbiya)",Awe,"Historical story, Moral teaching context"
